Identifier-Analyte	Analyte_Name
A161010-101-xxx	M000000_A161010-101-xxx_NA_0_FALSE_VAR5_FAME_NA161010
A161011-101-xxx	M000000_A161011-101-xxx_NA_0_FALSE_VAR5_FAME_NA161011
A161012-101-xxx	M000000_A161012-101-xxx_NA_0_FALSE_VAR5_FAME_NA161012
A162001-101-xxx	M000000_A162001-101-xxx_NA_526149,38_TRUE_VAR5_FAME_Ornithine (3TMS) (Derivate not found)
A162002-101-xxx	M000000_A162002-101-xxx_NA_525958_TRUE_VAR5_FAME_NA
A162003-101-xxx	M000000_A162003-101-xxx_NA_533905,75_TRUE_VAR5_FAME_Muconic acid, trans,trans- (2TMS)
A162004-101-xxx	M000000_A162004-101-xxx_NA_532736,44_TRUE_VAR5_FAME_Histamine (2TMS)
A162005-101-xxx	M000000_A162005-101-xxx_NA_535827,56_TRUE_VAR5_FAME_15-Crown-5 ether
A162006-101-xxx	M000000_A162006-101-xxx_NA_534832,69_TRUE_VAR5_FAME_Cytosine (3TMS)
A162007-101-xxx	M000000_A162007-101-xxx_NA_536465,69_PRED_VAR5_FAME_D162929
A162008-101-xxx	M000000_A162008-101-xxx_NA_0_FALSE_VAR5_FAME_NA162008 (classified unknown)
A162009-101-xxx	M000000_A162009-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#sst-cgl-039
A163001-101-xxx	M000000_A163001-101-xxx_NA_528501,06_TRUE_VAR5_FAME_Glutamic acid (3TMS)
A163002-101-xxx	M000000_A163002-101-xxx_NA_529348,06_TRUE_VAR5_FAME_Anthranilic acid (2TMS)
A163003-101-xxx	M000000_A163003-101-xxx_NA_531459_TRUE_VAR5_FAME_Triethanolamine (3TMS)
A163004-101-xxx	M000000_A163004-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A163005-101-xxx	M000000_A163005-101-xxx_NA_533812,12_TRUE_VAR5_FAME_Cinnamic acid, 2-methoxy-, cis- (1TMS)
A163006-101-xxx	M000000_A163006-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A163007-101-xxx	M000000_A163007-101-xxx_NA_0_FALSE_VAR5_FAME_Tridecanoic acid methyl ester, n-
A163011-101-xxx	M000000_A163011-101-xxx_NA_0_FALSE_VAR5_FAME_Paracetamol (2TMS)
A163012-101-xxx	M000000_A163012-101-xxx_NA_538667,19_TRUE_VAR5_FAME_Propionic acid, 3-ureido- (3TMS)
A163015-101-xxx	M000000_A163015-101-xxx_NA_0_FALSE_VAR5_FAME_NA163015 (classified unknown)
A163016-101-xxx	M000000_A163016-101-xxx_NA_0_FALSE_VAR5_FAME_6-deoxy-Mannopyranose_4TMS
A163017-101-xxx	M000000_A163017-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#sst-cgl-040
A163018-101-xxx	M000000_A163018-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#sst-cgl-041
A163019-101-xxx	M000000_A163019-101-xxx_NA_0_FALSE_VAR5_FAME_2-Aminoadipic-acid_2TMS
A163020-101-xxx	M000000_A163020-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#bth-pae-042
A163025-101-xxx	M000000_A163025-101-xxx_NA_0_FALSE_VAR5_FAME_2-Imidazolidone-4-carboxylic acid (3TMS)
A164001-101-xxx	M000000_A164001-101-xxx_NA_535904_TRUE_VAR5_FAME_Phenylalanine (2TMS)
A164002-101-xxx	M000000_A164002-101-xxx_NA_536781,81_TRUE_VAR5_FAME_2-Piperidinecarboxylic acid (1MEOX) (2TMS)
A164003-101-xxx	M000000_A164003-101-xxx_NA_537425,69_TRUE_VAR5_FAME_Benzoic acid, 4-hydroxy- (2TMS)
A164004-101-xxx	M000000_A164004-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A164005-101-xxx	M000000_A164005-101-xxx_NA_534535,44_TRUE_VAR5_FAME_Valeric acid, 5-amino- (3TMS)
A164006-101-xxx	M000000_A164006-101-xxx_NA_535416,94_TRUE_VAR5_FAME_Tartaric acid (4TMS)
A164007-101-xxx	M000000_A164007-101-xxx_NA_518770,5_PRED_VAR5_FAME_Asparagine (4TMS) BP1
A164008-101-xxx	M000000_A164008-101-xxx_NA_539574,81_TRUE_VAR5_FAME_Lyxose (1MEOX) (4TMS) BP
A164009-101-xxx	M000000_A164009-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A164010-101-xxx	M000000_A164010-101-xxx_NA_543054,88_TRUE_VAR5_FAME_Propane, 1,3-diamino- (4TMS)
A164011-101-xxx	M000000_A164011-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A164012-101-xxx	M000000_A164012-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A164013-101-xxx	M000000_A164013-101-xxx_NA_544311,94_TRUE_VAR5_FAME_Decanoic acid, 3-hydroxy- (2TMS)
A164014-101-xxx	M000000_A164014-101-xxx_NA_542155,19_TRUE_VAR5_FAME_Acetic acid, 4-hydroxyphenyl- (2TMS)
A164015-101-xxx	M000000_A164015-101-xxx_NA_543205,62_TRUE_VAR5_FAME_Propane, 1,2-diamino- (4TMS)
A164016-101-xxx	M000000_A164016-101-xxx_NA_544453,81_TRUE_VAR5_FAME_Aspartic acid, 3-hydroxy-, threo- (4TMS)
A164017-101-xxx	M000000_A164017-101-xxx_NA_543774,62_PRED_VAR5_FAME_D164543
A164018-101-xxx	M000000_A164018-101-xxx_NA_0_FALSE_VAR5_FAME_5-Acetamidopentanoic-acid_1TMS
A164019-101-xxx	M000000_A164019-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#sst-cgl-042
A164020-101-xxx	M000000_A164020-101-xxx_NA_0_FALSE_VAR5_FAME_Succinyl-lactate_2TMS
A164021-101-xxx	M000000_A164021-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#bth-pae-045
A164022-101-xxx	M000000_A164022-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#bth-pae-046
A164023-101-xxx	M000000_A164023-101-xxx_NA_0_FALSE_VAR5_FAME_2-Hydroxydodecanoic_acid_1MeO
A165001-101-xxx	M000000_A165001-101-xxx_NA_543446,12_TRUE_VAR5_FAME_Xylose (1MEOX) (4TMS) MP
A165002-101-xxx	M000000_A165002-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A165003-101-xxx	M000000_A165003-101-xxx_NA_538657,88_TRUE_VAR5_FAME_Arabinonic acid-1,4-lactone (3TMS)
A165004-101-xxx	M000000_A165004-101-xxx_NA_0_FALSE_VAR5_FAME_NA165004 (classified unknown)
A165006-101-xxx	M000000_A165006-101-xxx_NA_545351_TRUE_VAR5_FAME_Lyxose (1MEOX) (4TMS) MP
A165008-101-xxx	M000000_A165008-101-xxx_NA_548152,88_TRUE_VAR5_FAME_Imidazole-4-acetic acid (2TMS)
A165009-101-xxx	M000000_A165009-101-xxx_NA_548390,38_TRUE_VAR5_FAME_Morpholine, N-(3-aminopropyl)- (2TMS)
A165011-101-xxx	M000000_A165011-101-xxx_NA_547957,44_PRED_VAR5_FAME_D165453
A165012-101-xxx	M000000_A165012-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#bth-pae-002
A165013-101-xxx	M000000_A165013-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#sst-cgl-044
A165014-101-xxx	M000000_A165014-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#sst-cgl-043
A166001-101-xxx	M000000_A166001-101-xxx_NA_538929,56_TRUE_VAR5_FAME_Xylose (1MEOX) (4TMS) BP
A166002-101-xxx	M000000_A166002-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A166003-101-xxx	M000000_A166003-101-xxx_NA_547233,12_TRUE_VAR5_FAME_Dodecanoic acid (1TMS)
A166004-101-xxx	M000000_A166004-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A166005-101-xxx	M000000_A166005-101-xxx_NA_546275,69_TRUE_VAR5_FAME_Cinnamic acid, 3-methoxy-, cis- (1TMS)
A166010-101-xxx	M000000_A166010-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A166011-101-xxx	M000000_A166011-101-xxx_NA_551949,12_TRUE_VAR5_FAME_Benzoic acid, 4-amino- (1TMS)
A166012-101-xxx	M000000_A166012-101-xxx_NA_553176,31_TRUE_VAR5_FAME_Ribulose (1MEOX) (4TMS) MP
A166013-101-xxx	M000000_A166013-101-xxx_NA_551116,5_TRUE_VAR5_FAME_Aspartic acid, N-acetyl- (3TMS)
A166014-101-xxx	M000000_A166014-101-xxx_NA_578906,38_PRED_VAR5_FAME_Ethanesulfonic acid, 2-mercapto- (2TMS)
A166015-101-xxx	M000000_A166015-101-xxx_NA_554217,12_PRED_VAR5_FAME_Trans-1,2-0-benzylidene-D-glycerol (1TMS)
A166016-101-xxx	M000000_A166016-101-xxx_NA_552800,38_PRED_VAR5_FAME_NA_222_204_179_119_105
A166017-101-xxx	M000000_A166017-101-xxx_NA_0_FALSE_VAR5_FAME_2-Hydroxydecanoic-acid_2TMS
A166018-101-xxx	M000000_A166018-101-xxx_NA_0_FALSE_VAR5_FAME_3-Ketoadipate_2_1MeOX_2TMS
A166019-101-xxx	M000000_A166019-101-xxx_NA_0_FALSE_VAR5_FAME_3-Ketoadipate_1_1MeOX_2TMS
A166020-101-xxx	M000000_A166020-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#sst-cgl-045
A166021-101-xxx	M000000_A166021-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#sst-cgl-046
A166022-101-xxx	M000000_A166022-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#bth-pae-047
A167001-101-xxx	M000000_A167001-101-xxx_NA_551220,12_TRUE_VAR5_FAME_Homocysteine (3TMS)
A167002-101-xxx	M000000_A167002-101-xxx_NA_545906,56_TRUE_VAR5_FAME_Arabinose (1MEOX) (4TMS) MP
A167003-101-xxx	M000000_A167003-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A167004-101-xxx	M000000_A167004-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A167005-101-xxx	M000000_A167005-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A167006-101-xxx	M000000_A167006-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A167009-101-xxx	M000000_A167009-101-xxx_NA_563558,44_TRUE_VAR5_FAME_Cysteine, N-acetyl- (3TMS)
A167010-101-xxx	M000000_A167010-101-xxx_NA_550051,88_TRUE_VAR5_FAME_Arabinose (1MEOX) (4TMS) BP
A167011-101-xxx	M000000_A167011-101-xxx_NA_544938,69_TRUE_VAR5_FAME_Ribose (1MEOX) (4TMS) BP
A167012-101-xxx	M000000_A167012-101-xxx_NA_557894,62_TRUE_VAR5_FAME_Propionic acid, 3-ureido- (2TMS)
A167013-101-xxx	M000000_A167013-101-xxx_NA_554870,62_TRUE_VAR5_FAME_Methionine, N-acetyl- (2TMS)
A167014-101-xxx	M000000_A167014-101-xxx_NA_555248,38_TRUE_VAR5_FAME_Oxaloacetate (1MEOX) (3TMS) MP
A167015-101-xxx	M000000_A167015-101-xxx_NA_555174,06_TRUE_VAR5_FAME_similar to NA (Ribulose like)
A167016-101-xxx	M000000_A167016-101-xxx_NA_557402,69_PRED_VAR5_FAME_NA
A167017-101-xxx	M000000_A167017-101-xxx_NA_556991,38_PRED_VAR5_FAME_NA_220_162_147_132_91
A167018-101-xxx	M000000_A167018-101-xxx_NA_557842,5_PRED_VAR5_FAME_D167572
A167019-101-xxx	M000000_A167019-101-xxx_NA_0_FALSE_VAR5_FAME_Taurine_3TMS
A167020-101-xxx	M000000_A167020-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#sst-cgl-048
A167021-101-xxx	M000000_A167021-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#bth-pae-064
A168001-101-xxx	M000000_A168001-101-xxx_NA_553067,31_TRUE_VAR5_FAME_Asparagine (3TMS)
A168002-101-xxx	M000000_A168002-101-xxx_NA_553613,25_TRUE_VAR5_FAME_Ribose (1MEOX) (4TMS) MP
A168004-101-xxx	M000000_A168004-101-xxx_NA_546764,25_TRUE_VAR5_FAME_Pyrophosphate (4TMS)
A168005-101-xxx	M000000_A168005-101-xxx_NA_551455,19_TRUE_VAR5_FAME_Hexanedioic acid, hydroxy- (3TMS)
A168006-101-xxx	M000000_A168006-101-xxx_NA_554704,06_TRUE_VAR5_FAME_Homoserine (4TMS)
A168007-101-xxx	M000000_A168007-101-xxx_NA_555494,88_TRUE_VAR5_FAME_Cinnamic acid, 2-hydroxy-, cis- (2TMS)
A168008-101-xxx	M000000_A168008-101-xxx_NA_552428,94_TRUE_VAR5_FAME_Xylulose (1MEOX) (4TMS) MP
A168009-101-xxx	M000000_A168009-101-xxx_NA_0_FALSE_VAR5_FAME_Siloxane
A168010-101-xxx	M000000_A168010-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A168011-101-xxx	M000000_A168011-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A168013-101-xxx	M000000_A168013-101-xxx_NA_570856,25_TRUE_VAR5_FAME_Butanoic acid, 4-amino-3-hydroxy- (4TMS)
A168014-101-xxx	M000000_A168014-101-xxx_NA_0_FALSE_VAR5_FAME_Tridecan-1-ol, n- (1TMS)
A168015-101-xxx	M000000_A168015-101-xxx_NA_0_FALSE_VAR5_FAME_NA168015 (classified unknown)
A168016-101-xxx	M000000_A168016-101-xxx_NA_560609,38_TRUE_VAR5_FAME_Glutamic acid, N-methyl- (3TMS)
A168017-101-xxx	M000000_A168017-101-xxx_NA_562796,25_TRUE_VAR5_FAME_similar to NA (Ribulose like)
A168018-101-xxx	M000000_A168018-101-xxx_NA_560368,19_TRUE_VAR5_FAME_Cytosine, 5-methyl- (3TMS)
A168019-101-xxx	M000000_A168019-101-xxx_NA_561979,69_TRUE_VAR5_FAME_Propanoic acid, 3-(2-hydroxyphenyl)- (2TMS)
A168020-101-xxx	M000000_A168020-101-xxx_NA_558893,06_TRUE_VAR5_FAME_Cysteinesulfinic acid (3TMS)
A168021-101-xxx	M000000_A168021-101-xxx_NA_561443,88_TRUE_VAR5_FAME_Kojic acid (2TMS)
A168025-101-xxx	M000000_A168025-101-xxx_NA_562909,19_PRED_VAR5_FAME_Cis-1,2-0-benzylidene-D-glycerol (1TMS)
A168026-101-xxx	M000000_A168026-101-xxx_NA_562634,88_PRED_VAR5_FAME_D168614
A168027-101-xxx	M000000_A168027-101-xxx_NA_561902,12_PRED_VAR5_FAME_NA168027
A168028-101-xxx	M000000_A168028-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#bth-pae-048
A169001-101-xxx	M000000_A169001-101-xxx_NA_559314,94_TRUE_VAR5_FAME_Ribonic acid-1,4-lactone (3TMS)
A169002-101-xxx	M000000_A169002-101-xxx_NA_0_FALSE_VAR5_FAME_Xylulose (4TMS)
A169004-101-xxx	M000000_A169004-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A169005-101-xxx	M000000_A169005-101-xxx_NA_0_FALSE_VAR5_FAME_similar to Asparagine -H2O (3TMS)
A169006-101-xxx	M000000_A169006-101-xxx_NA_564219,69_TRUE_VAR5_FAME_Galactose, 3,6-anhydro- (1MEOX) (3TMS)
A169007-101-xxx	M000000_A169007-101-xxx_NA_566761,06_TRUE_VAR5_FAME_Malic acid, 3-oxalo- (TMS)
A169008-101-xxx	M000000_A169008-101-xxx_NA_566012,62_TRUE_VAR5_FAME_Tartronic acid, 2-(methylaminomethyl)- (1MEOX) (3TMS)
A169009-101-xxx	M000000_A169009-101-xxx_NA_566432,75_TRUE_VAR5_FAME_Methionine, N-formyl- (2TMS)
A169010-101-xxx	M000000_A169010-101-xxx_NA_565047,94_TRUE_VAR5_FAME_Methionine, N-formyl- (1TMS)
A169011-101-xxx	M000000_A169011-101-xxx_NA_564032,38_TRUE_VAR5_FAME_Aspartic acid, N-formyl- (3TMS)
A169012-101-xxx	M000000_A169012-101-xxx_NA_566012,25_PRED_VAR5_FAME_NA_220_205_187_162_147_121_105_91_79
A169013-101-xxx	M000000_A169013-101-xxx_NA_565618,25_PRED_VAR5_FAME_NA_218_203_162_147_119_105_91_79
A169014-101-xxx	M000000_A169014-101-xxx_NA_567268,44_PRED_VAR5_FAME_3-Hydroxytridecan-4-one (1MEOX) (1TMS)
A170001-101-xxx	M000000_A170001-101-xxx_NA_0_FALSE_VAR5_FAME_NA170001 (classified unknown)
A170002-101-xxx	M000000_A170002-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A170003-101-xxx	M000000_A170003-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A170004-101-xxx	M000000_A170004-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A170005-101-xxx	M000000_A170005-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A170006-101-xxx	M000000_A170006-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A170007-101-xxx	M000000_A170007-101-xxx_NA_0_FALSE_VAR5_FAME_Lysine (3TMS) (Derivate not found)
A170009-101-xxx	M000000_A170009-101-xxx_NA_0_FALSE_VAR5_FAME_Heptadecane, n-
A170011-101-xxx	M000000_A170011-101-xxx_NA_0_FALSE_VAR5_FAME_NA170011
A170012-101-xxx	M000000_A170012-101-xxx_NA_570529,62_TRUE_VAR5_FAME_Methionine, N-acetyl- (1TMS)
A170013-101-xxx	M000000_A170013-101-xxx_NA_573279,69_TRUE_VAR5_FAME_Benzaldehyde, 2,5-dihydroxy- (1MEOX) (2TMS) MP
A170017-101-xxx	M000000_A170017-101-xxx_NA_570808_PRED_VAR5_FAME_NA
A170018-101-xxx	M000000_A170018-101-xxx_NA_573306,38_PRED_VAR5_FAME_NA170018
A170019-101-xxx	M000000_A170019-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#sst-cgl-053
A170020-101-xxx	M000000_A170020-101-xxx_NA_0_FALSE_VAR5_FAME_Ribulose_2_1MeOX_4TMS
A170021-101-xxx	M000000_A170021-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#bth-pae-049
A171001-101-xxx	M000000_A171001-101-xxx_NA_566179,31_TRUE_VAR5_FAME_Xylitol (5TMS)
A171002-101-xxx	M000000_A171002-101-xxx_NA_568819,81_TRUE_VAR5_FAME_Glyceraldehyde-3-phosphate (1MEOX) (3TMS) BP
A171003-101-xxx	M000000_A171003-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A171004-101-xxx	M000000_A171004-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A171005-101-xxx	M000000_A171005-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A171006-101-xxx	M000000_A171006-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A171007-101-xxx	M000000_A171007-101-xxx_NA_568030,5_TRUE_VAR5_FAME_Suberic acid (2TMS)
A171009-101-xxx	M000000_A171009-101-xxx_NA_572683,12_TRUE_VAR5_FAME_Cinnamic acid, 4-methoxy-, cis- (1TMS)
A171012-101-xxx	M000000_A171012-101-xxx_NA_572330,56_TRUE_VAR5_FAME_Arabitol (5TMS)
A171016-101-xxx	M000000_A171016-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A171019-101-xxx	M000000_A171019-101-xxx_NA_576409,62_TRUE_VAR5_FAME_Cysteine, N-acetyl- (2TMS)
A171020-101-xxx	M000000_A171020-101-xxx_NA_575544,19_TRUE_VAR5_FAME_Indole, 3-hydroxy- (2TMS)
A171021-101-xxx	M000000_A171021-101-xxx_NA_576216,88_TRUE_VAR5_FAME_Putrescine, N-acetyl- (3TMS)
A171022-101-xxx	M000000_A171022-101-xxx_NA_574959,69_TRUE_VAR5_FAME_Homoserine lactone, N-hexanoyl- (1TMS)
A171025-101-xxx	M000000_A171025-101-xxx_NA_577245,88_PRED_VAR5_FAME_D171803
A171026-101-xxx	M000000_A171026-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#sst-cgl-052
A171027-101-xxx	M000000_A171027-101-xxx_NA_0_FALSE_VAR5_FAME_2-Dodecenoic-acid_1TMS
A172001-101-xxx	M000000_A172001-101-xxx_NA_569531,62_TRUE_VAR5_FAME_Glucose, 1,6-anhydro-, beta- (3TMS)
A172002-101-xxx	M000000_A172002-101-xxx_NA_572170,25_TRUE_VAR5_FAME_Rhamnose (1MEOX) (4TMS) MP
A172003-101-xxx	M000000_A172003-101-xxx_NA_574118,12_TRUE_VAR5_FAME_Glyceraldehyde-3-phosphate (1MEOX) (3TMS) MP
A172004-101-xxx	M000000_A172004-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A172005-101-xxx	M000000_A172005-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A172006-101-xxx	M000000_A172006-101-xxx_NA_572996,81_TRUE_VAR5_FAME_Adipic acid, 2-amino- (3TMS)
A172007-101-xxx	M000000_A172007-101-xxx_NA_573320,19_TRUE_VAR5_FAME_Phenylpyruvic acid (2TMS)
A172008-101-xxx	M000000_A172008-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A172012-101-xxx	M000000_A172012-101-xxx_NA_0_FALSE_VAR5_FAME_Tetradecenoic acid methyl ester, 9-(Z)-, n-
A172014-101-xxx	M000000_A172014-101-xxx_NA_582342,75_TRUE_VAR5_FAME_Glutaric acid, 3-oxo- (1MEOX) (3TMS)
A173001-101-xxx	M000000_A173001-101-xxx_NA_574723,75_TRUE_VAR5_FAME_Ribitol (5TMS)
A173002-101-xxx	M000000_A173002-101-xxx_NA_576074,44_TRUE_VAR5_FAME_Fucose (1MEOX) (4TMS) MP
A173003-101-xxx	M000000_A173003-101-xxx_NA_575766,19_TRUE_VAR5_FAME_Rhamnose (1MEOX) (4TMS) BP
A173004-101-xxx	M000000_A173004-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A173005-101-xxx	M000000_A173005-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A173008-101-xxx	M000000_A173008-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A173009-101-xxx	M000000_A173009-101-xxx_NA_582620_TRUE_VAR5_FAME_Tetradecanoic acid methyl ester (FAME MIX)
A173010-101-xxx	M000000_A173010-101-xxx_NA_586222,81_TRUE_VAR5_FAME_Benzoic acid, 2,3-dihydroxy- (3TMS)
A173011-101-xxx	M000000_A173011-101-xxx_NA_586986,06_TRUE_VAR5_FAME_Benzene, hexachloro-
A173012-101-xxx	M000000_A173012-101-xxx_NA_586137,31_TRUE_VAR5_FAME_Jasmonic acid methyl ester, 2-trans- (1MEOX)
A173015-101-xxx	M000000_A173015-101-xxx_NA_0_FALSE_VAR5_FAME_NA173015
A173016-101-xxx	M000000_A173016-101-xxx_NA_0_FALSE_VAR5_FAME_Pyridine-2,3-dicarboxylic-acid_2TMS
A173017-101-xxx	M000000_A173017-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#sst-cgl-054
A173018-101-xxx	M000000_A173018-101-xxx_NA_0_FALSE_VAR5_FAME_Histidinol_2TMS
A173019-101-xxx	M000000_A173019-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#bth-pae-053
A174001-101-xxx	M000000_A174001-101-xxx_NA_0_FALSE_VAR5_FAME_NA174001
A174002-101-xxx	M000000_A174002-101-xxx_NA_575215,19_TRUE_VAR5_FAME_Glycerol-2-phosphate (4TMS)
A174003-101-xxx	M000000_A174003-101-xxx_NA_580332,38_TRUE_VAR5_FAME_Aspartic acid (4TMS)
A174004-101-xxx	M000000_A174004-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A174005-101-xxx	M000000_A174005-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A174006-101-xxx	M000000_A174006-101-xxx_NA_580081,31_TRUE_VAR5_FAME_Caproic acid, 6-amino- (3TMS)
A174007-101-xxx	M000000_A174007-101-xxx_NA_584361,5_TRUE_VAR5_FAME_Cinnamic acid, 3-hydroxy-, cis- (2TMS)
A174008-101-xxx	M000000_A174008-101-xxx_NA_578393,06_TRUE_VAR5_FAME_Glutamine (4TMS)
A174011-101-xxx	M000000_A174011-101-xxx_NA_584912,38_TRUE_VAR5_FAME_Agmatine [-NH3] (3TMS)
A174013-101-xxx	M000000_A174013-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A174015-101-xxx	M000000_A174015-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A174017-101-xxx	M000000_A174017-101-xxx_NA_588551,62_TRUE_VAR5_FAME_Quinazoline, 4-hydroxy-
A174018-101-xxx	M000000_A174018-101-xxx_NA_589590,94_TRUE_VAR5_FAME_Homoserine lactone, N-hexanoyl-
A174019-101-xxx	M000000_A174019-101-xxx_NA_591455,31_TRUE_VAR5_FAME_Iminodiacetic acid, N-(2-hydroxyethyl)- (3TMS)
A174020-101-xxx	M000000_A174020-101-xxx_NA_591354,69_TRUE_VAR5_FAME_Benzimidazole, 5,6-dimethyl-
A174023-101-xxx	M000000_A174023-101-xxx_NA_0_FALSE_VAR5_FAME_Tricarballylic-acid_3TMS
A174024-101-xxx	M000000_A174024-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#sst-cgl-058
A174025-101-xxx	M000000_A174025-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#bth-pae-054
A174026-101-xxx	M000000_A174026-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#sst-cgl-A11
A175001-101-xxx	M000000_A175001-101-xxx_NA_582251,19_TRUE_VAR5_FAME_Fucose (1MEOX) (4TMS) BP
A175002-101-xxx	M000000_A175002-101-xxx_NA_584887,44_TRUE_VAR5_FAME_Putrescine (4TMS)
A175003-101-xxx	M000000_A175003-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A175004-101-xxx	M000000_A175004-101-xxx_NA_587053,44_TRUE_VAR5_FAME_Lyxonic acid-1,4-lactone (3TMS)
A175005-101-xxx	M000000_A175005-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A175006-101-xxx	M000000_A175006-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A175007-101-xxx	M000000_A175007-101-xxx_NA_0_FALSE_VAR5_FAME_Glucose, 3-deoxy-, D- (1MEOX) (4TMS)
A175008-101-xxx	M000000_A175008-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A175010-101-xxx	M000000_A175010-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A175012-101-xxx	M000000_A175012-101-xxx_NA_595571,69_TRUE_VAR5_FAME_Glutamine, N-gamma-ethyl- (3TMS)
A175013-101-xxx	M000000_A175013-101-xxx_NA_595889,69_TRUE_VAR5_FAME_Putrescine, N-acetyl- (2TMS)
A175015-101-xxx	M000000_A175015-101-xxx_NA_593287,88_PRED_VAR5_FAME_DMDP (5TMS)
A175016-101-xxx	M000000_A175016-101-xxx_NA_595863,38_PRED_VAR5_FAME_NA_220_189_81
A175017-101-xxx	M000000_A175017-101-xxx_NA_0_FALSE_VAR5_FAME_NA175017
A175018-101-xxx	M000000_A175018-101-xxx_NA_0_FALSE_VAR5_FAME_Pyridoxal_2TMS
A175019-101-xxx	M000000_A175019-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#sst-cgl-060
A175020-101-xxx	M000000_A175020-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#bth-pae-055
A175021-101-xxx	M000000_A175021-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#bth-pae-060
A176001-101-xxx	M000000_A176001-101-xxx_NA_0_FALSE_VAR5_FAME_NA176001 (classified unknown)
A176002-101-xxx	M000000_A176002-101-xxx_NA_588798,25_TRUE_VAR5_FAME_Aconitic acid, cis- (3TMS)
A176003-101-xxx	M000000_A176003-101-xxx_NA_586857,62_TRUE_VAR5_FAME_Orotic acid (3TMS)
A176004-101-xxx	M000000_A176004-101-xxx_NA_0_FALSE_VAR5_FAME_NA176004 (classified unknown)
A176005-101-xxx	M000000_A176005-101-xxx_NA_588635,88_TRUE_VAR5_FAME_Arginine [-NH3] (2TMS)
